review_num,orig_idx,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,has_review_text,is_truncated,product_review_count,coverage_tier,age_band,rating_rec_conflict,stratum
12,9641,945,27,Misleading photo,"I would have loved this sweater if it were true to the picture but the stripes are gray, not white. either i got a strange one or (as happens to me sometimes with retailer) the pictures are very misleading. disappointed because i wanted to love this.",2,0,2,General,Tops,Sweaters,True,False,70,sufficient,18-29,False,NEGATIVE
13,13479,1094,51,Weird,This dress just fits weird. maybe it works for somebody..... there is a reason it has been put on sale...,1,0,1,General,Dresses,Dresses,True,False,756,sufficient,50-59,False,NEGATIVE
14,17586,1110,67,"Super cute, horrible slip","Super cute dress online on the model. what you can't tell from the picture is the slip underneath is not true to size of the dress and the outside layer of the dress is more sheer than the picture shows so you can tell the slip underneath is very tight. it might be my body type. otherwise, it's super cute in person and i wish it would've fit better!",2,0,17,General,Dresses,Dresses,True,False,480,sufficient,60+,False,NEGATIVE
15,9122,825,26,"Horrible quality, no structure",I recently purchased this blouse on their 40% off sale in white. i was hoping for a crisp white structured blouse. i did read all the reviews and thought i would give it a try anyway. it is awful. there is no structure or shape but the quality is the reason i am returning. it feels like a napkin or thinner. not even worth the extra sale price. i will be returning.,1,0,0,General Petite,Tops,Blouses,True,False,93,sufficient,18-29,False,NEGATIVE
16,17233,831,33,Poor quality,The material is so thin and so itchy..like other reviewers stated..it itches so bad and feels like sandpaper..i thought it would be ok to wear a tank top underneath but sleeves are still itchy. otherwise the design is great and the long peplum hem is very pretty and would look great with skinny pants or leggings and boots,1,0,0,General,Tops,Blouses,True,False,164,sufficient,30-39,False,NEGATIVE
17,12875,1078,49,Wanted to like it,"I have a holding horses dress similar to this one from about a year ago. i loved the swinging fit without it looking like a maternity dress. the fit and style of this dress is wonderful, it's the color that killed it for me. i ordered the ""orange"" because i liked the photo on the model. when the dress arrived in the mail, i could hardly take it out of the package and try it on. the color is almost neon orange. too much for this redhead. hard to wear that bright neony color. not sure",2,0,0,General Petite,Dresses,Dresses,True,False,1024,sufficient,40-49,False,NEGATIVE
18,19893,1082,24,Unflattering,This dress was really odd. i loved the quirky mixture of the blue stripe and the floral but that's about it. the shape was unflattering but honestly that could be because this dress ran large. i was just very underwhelmed with this dress. also the hidden button zipper at the front was an amazing idea but not the best execution. overall its okay just hated it on me.,2,0,1,General Petite,Dresses,Dresses,True,False,147,sufficient,18-29,False,NEGATIVE
19,9531,895,42,Beautiful color but baggy fit,"I wanted to love this sweater. the lavender color and design with the pleated back was beautiful. however when i put it on, it added at least 20 pounds to my frame. unfortunately it's going back since the cut just doesn't work on my frame.",2,0,1,General,Tops,Fine gauge,True,False,404,sufficient,40-49,False,NEGATIVE
20,11112,90,58,Stretched out upon receipt,"I opened these when i got them yesterday and immediately tried them on. the knees were totally stretched out and due to the panel at the knee, it looked like i had growths popping out between my legs at my knees. someone had received these before me and sent them back after they tried them on or wore them then returned them. they were obviously too small for whoever did that. these never should have been resent to another customer. they are obviously very misshapen. they are going back. on a bet",1,0,0,Initmates,Intimate,Legwear,True,True,14,thin,50-59,False,NEGATIVE
21,14173,1083,33,Significant other required,"This dress is beautiful and extremely well made... if you can get into it. the only way to close the dress is a line of difficult to button buttons up the back. it's form fitting, so you'd better be on your yoga a game or have a loved one or hand maiden to lend a hand. i thought about taking it to a tailor to install a hidden side zipper, but it's soooo form fitting i'm afraid i wouldn't wear it.",2,0,1,General,Dresses,Dresses,True,False,249,sufficient,30-39,False,NEGATIVE
22,11814,1079,70,"Pretty but heavy, buttonholes too small","Really like this dress but.....
the dress is lined in a heavy fabric and weighs a lot for a summer dress
worst of all there is no chance at all of getting the buttons through the button holes.
impossible!
has to go back",2,0,1,General,Dresses,Dresses,True,False,63,sufficient,60+,False,NEGATIVE
23,22333,316,30,Bigger than my first apartment,"I followed the other reviews and sized down. normally, i'm a small/medium in retailer (5'8""/135 for clarification) and i expected the garment to be a bit roomy. i ordered the small and when it arrived i almost called the corporate office to ensure i didn't have to pay rent on the romper, given that you could comfortably fit a small family of five in it. oddly, the arm-holes were normal sized? i returned this mess.",1,0,1,General,Bottoms,Shorts,True,False,15,thin,30-39,False,NEGATIVE
24,10806,907,40,,"This sweater was not as featured in the picture. the front is completely cropped while the back is regular length. the front barely reached the middle of my stomach. also, the color was not as vibrant as shown in the picture. this sweater will be going back.",1,0,1,General,Tops,Fine gauge,True,False,130,sufficient,40-49,False,NEGATIVE
25,7706,867,63,"Bulky, unflattering",I was surprised by the other reviews. expected to live in this all winter but found the style bulky and awkward. the hi-low cut with so much bulk just wasn't flattering. i wish the armholes had been larger so that the body of the shirt would have fallen closer to my body. the armholes are the size of a fitted shirt which pulls the shirt wide rather than allowing it to drape a bit more. it is incredibly soft but just not as comfortable as i'd hoped. it went back.,2,0,4,General,Tops,Knits,True,False,351,sufficient,60+,False,NEGATIVE
26,14286,1073,37,Sad this couldn't come home with me....,"So i really loved this dress. i am tall (6ft) and the size 8 was perfect length. i would have worn it with flat dressy sandals. i would say it is true to size. i am not a flowy dress kind of girl but this was just the perfect amount of ""flow"" without making me feel like i was wearing a long potato sack. the back is just gorgeous and unique. here is why i couldn't make it mine. the tube top part is completely detachable and extremely thin. there is literally not much to it and i'm not sure it wou",2,0,7,General Petite,Dresses,Dresses,True,True,2,thin,30-39,False,NEGATIVE
27,97,861,44,Huge,"I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i should've looked at other reviews.",1,0,0,General Petite,Tops,Knits,True,False,244,sufficient,40-49,False,NEGATIVE
28,9967,1062,30,Interesting cut,"These have a very interesting cut. it seems like they were made for someone extremely tall. i'm about 5'5"" and the size 4 fit in the waist, but fell way below where they do on the model on the picture. it's hard to imagine who they would look good on, they're also very poofy right below the waist.",2,0,0,General,Bottoms,Pants,True,False,9,thin,30-39,False,NEGATIVE
29,18216,350,33,Man shorts,"I was so excited to try these, it's hard to find cute bermuda shorts. the legs were so wide. my husband asked if i was wearing his shorts. they don't look that wide in the picture. i am 5'4"" and 130 lbs i bought my regular size 28 but the waist was huge i could have sized down one or two sizes. unrolled they came to my knee.",1,0,9,General,Bottoms,Shorts,True,False,7,thin,30-39,False,NEGATIVE
30,22790,1078,28,"Drab color, weird fit","Couldn't make it work, even belted. ivory color is darker irl--dingy light tan, like dirty vintage. ""drop"" waist is not dropped at all, just a maternity-ish cut that starts boxy-loose high up (below bust), then abruptly flares out at bellybutton level (not low hip) into the skirt. i usually find a-line cuts good at giving illusion of a willowy, curvy waist, but this does not--adds ten pounds. poly fabric heavy/hot; rayon lining awkward and doesn't flow/drape. (5'3'' 127lb 34a, tried xs)",2,0,0,General Petite,Dresses,Dresses,True,False,1024,sufficient,18-29,False,NEGATIVE
31,7891,866,30,,"I tried this top on thinking it would be cute for the summer. it looked more like a maternity top with the fullness in the bottom. so if you're expecting, this one would be great.",1,0,18,General Petite,Tops,Knits,True,False,121,sufficient,30-39,False,NEGATIVE
32,610,995,34,No shape,It looks like you are wearing cargo shorts. really unflattering. avoid buying this skirt,2,0,1,General,Bottoms,Skirts,True,False,36,sufficient,30-39,False,NEGATIVE
33,20340,857,54,Not as expected,"The material was thin, showed every lump you'd rather hide and clung to the body. even the sleeves were tight. looked inexpensive.",2,0,13,General Petite,Tops,Knits,True,False,71,sufficient,50-59,False,NEGATIVE
34,9041,971,36,Not cute,"This blazer looks great on the model and i have a long torso so i thought it would be perfect. when i got it it looked like a big box and didn't fit anywhere. the shoulder pads were giant and the bottom of the coat was huge. i got a small based on other reviews, but it was way too big. sadly, i had to return it.",1,0,0,General Petite,Jackets,Jackets,True,False,5,thin,30-39,False,NEGATIVE
35,18804,868,37,Too billowy,"I like the color blocking of this top, but it was too large and billowy on the bottom. it felt like a pregnancy top so i had to return it as it gave me no shape.",2,0,1,General,Tops,Knits,True,False,430,sufficient,30-39,False,NEGATIVE
36,2803,868,34,So tent-like and unflattering!,"Looks great on the model, but in actuality there is way too much fabric; what should be flowy and billowy looks like a tent (or a maternity top on a petite woman). it didn't matter which size, they all fit me disastrously. i love the look and i thought of keeping it and having it taken in, but there's too much fabric under the chest to make it an easy cut/alteration on the side seams. sometimes i wonder who comes up with these patterns, and if they pin the shirts back on the models. if you put a",1,0,0,General,Tops,Knits,True,True,430,sufficient,30-39,False,NEGATIVE
37,6884,251,38,,"I really wanted to love this cardigan and did until i tried it on. the arms are so tight! i ordered in a m, which is my normal retailer size, but couldn't move my arms. took it back, was going to try in a l, but store didn't have any. for the price, i need to be able to move my arms!",2,0,1,Initmates,Intimate,Lounge,True,False,13,thin,30-39,False,NEGATIVE
38,22530,1033,28,Fits amazing...formed holes after 1 month,"Really disappointing quality. these jeans are of a very poor quality material and developed holes in the inseams after only a month! i love pilcros, and am totally shocked at the poor quality...retailer, i hope this is just a fluke. not worth the money!",1,0,4,General,Bottoms,Jeans,True,False,220,sufficient,18-29,False,NEGATIVE
39,565,833,47,,"This top runs super small in the upper arms, shoulder area..could not even stretch out my arms! ...other then that major problem, the length and body fit were perfect...i am true med and/or large in all retailer tops so i tried sizes 10, 12 and neither worked for me due to arm/shoulder fit...disappointed because it really is a beautiful top...",1,0,12,General,Tops,Blouses,True,False,157,sufficient,40-49,False,NEGATIVE
40,20243,824,65,Not for the full figured,This would be a great blouse for flat chested person. i am a size 12 and busty. i ordered an xl and it was ridiculously tight across the chest and the fabric is see through. you would need to wear a cami under it.,1,0,3,General,Tops,Blouses,True,False,96,sufficient,60+,False,NEGATIVE
41,22926,895,56,Only the sleeves are pretty; the rest is terrible,"The sleeves on this top always caught my eye every single time i was in a store. they never had my size to try on, so when a free shipping offer came up, i ordered the ivory top in a size large. well, the sleeves are indeed stunning, but that is all that is attractive about this top! the rest was a plain, blank, white canvas. in fact, that's what it felt like to wear it -- like i was wearing a tent or an artist's canvas on my chest. yuck! how can this designer put so much thought and care into t",1,0,0,General Petite,Tops,Fine gauge,True,True,404,sufficient,50-59,False,NEGATIVE
42,6004,873,52,Not as cute in person,"Per the other reviews i sized up and got the medium. it was still tight around the girls (and i'm not that well endowed), but too big in the armholes. the fabric is a kind of thin tee shirt material. i kept it (because i'm lazy) but not sure how much i'll wear it given the strange fit.",2,0,0,General,Tops,Knits,True,False,238,sufficient,50-59,False,NEGATIVE
43,14858,844,37,,Material was a tad rough for my liking. the color did nothing for my olive complexion. given the price of this shirt (even with 20% off) i don't think it's worth it. if i'm spending $100+ on a blouse i need to love it and i do not love this one...going back.,2,0,2,General,Tops,Blouses,True,False,50,sufficient,30-39,False,NEGATIVE
44,6653,977,52,Hideous looking,Does not look like the picture. lined with a cheap denim fabric inside that shows when arms are rolled up. i normally always fit in mediums and this jacket is so small in the arms as well as body that it fit like a xs.,2,0,1,General Petite,Jackets,Jackets,True,False,9,thin,50-59,False,NEGATIVE
45,350,844,36,So disappointed! please fix it!,"This blouse is so beautiful - the collar, sleeves, material...everything except the cut! it was like a tent. it needed to be more tapered, which would be easy to do while still maintaining the beautiful breezy flow, and be about two inches longer.

i had been drooling over this top for awhile and was so disappointed! please fix it and then i will buy again. i am 5'4"", 140lbs and busty...a small was perfect, with the exception of the massive amount of material.",2,0,0,General Petite,Tops,Blouses,True,False,50,sufficient,30-39,False,NEGATIVE
46,7838,1053,46,"Looks like pajamas, not flattering","I love jumpsuits for their style and comfort. i loved the look of this blue silky piece, and the review that said it was like lounge wear you could wear out of the house. i agree that it is like lounge wear, but for me, there were a few challenges.

first, the fit was small. i am usually anywhere between a 2 and a 6 depending on style, cut and brand. i tried the small in this and it was not a flowy look or feel. it was restrictive in the hip area in a way that would make me not want to wear th",2,0,0,General,Bottoms,Pants,True,True,41,sufficient,40-49,False,NEGATIVE
47,4542,820,55,,"I fell in love with this shirt the moment i saw it!
unfortunately, when i went to put it on, there was a hole running down the seam in the back. i went to store to exchange, wore the shirt, and someone tells me i have two holes in the back of my shirt. horrified, i went home, took a look, both holes along the seam! i will be returning this, i really liked this shirt!",2,0,0,General,Tops,Blouses,True,False,211,sufficient,50-59,False,NEGATIVE
48,20887,1075,38,Huge!!!!,"This could seriously fit a large and it's an xs. so frustrating!! this is the fourth retailer dress that is ordered that is just enormous. i get the whole ""loose fit"" style, but seriously??? you've taken it to a whole new level, retailer!!! another trip to the store to return another item. a complete waste of my time. ugh.",1,0,2,General,Dresses,Dresses,True,False,69,sufficient,30-39,False,NEGATIVE
49,5912,1094,37,"Great shape, poor condition","Love the shape and flow of this dress. but i was sent a dirty stained dress so this is going back.

would not recommend",2,0,1,General,Dresses,Dresses,True,False,756,sufficient,30-39,False,NEGATIVE
50,5680,1030,53,Runs small,"I ordered these jeans twice because i love them. the first pair were mis-marked by about 4 sizes so i re-ordered. second pair still didn't fit, they run really small, i would probably need one maybe two sizes larger than normal to achieve the fit and feel of the other skinny jeans in my closet:(",2,0,2,General,Bottoms,Jeans,True,False,72,sufficient,50-59,False,NEGATIVE
51,161,829,52,"Scratchy, uncomfortable top","The title says it all....this fabric of this top is both the best and worst part of the design. the colors are vibrant and the combination of materials (shoulder is a knit, sweater-like navy fabric) is interesting. however, that is where the positive comments end on this one. the top is so scratchy,, stiff, and, frankly, uncomfortable. i cannot imagine wanting to wear it. it could benefit from a lining, and that might have solved the problem of scratchy, itchy fabric.

the stiff fabric of the bo",1,0,8,General Petite,Tops,Blouses,True,True,527,sufficient,50-59,False,NEGATIVE
52,13947,128,30,Pills horribly,"I splurged on this pajama set for myself and now regret it. even though the design is adorable, the knitted fabric contains acrylic and started pilling a lot within the first week of wear. after a month and a couple washes, it looks horrible. it may be the worst case of pilling i've ever seen in a fabric. so so disappointed. it initially fit true to size but has stretched out a bit over time.",1,0,0,General Petite,Intimate,Lounge,True,False,6,thin,30-39,False,NEGATIVE
53,6678,909,57,Sweater not as shown in photo,"Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly, with beautiful detail and high quality material, but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the phot",1,0,17,General,Tops,Fine gauge,True,True,122,sufficient,50-59,False,NEGATIVE
54,9222,829,48,Prettier in pic!,"I just returned this top. i agree with the previous reviewer. the neckline is way too deep, i ordered small and i looked ridiculous in it. also the ruffles didn't look so great on me either.",2,0,1,General,Tops,Blouses,True,False,527,sufficient,40-49,False,NEGATIVE
55,21150,1044,50,Not flattering if you have thighs!,I am not particularly large but i have thighs! this pair of pants was totally unflattering! my butt looked fine but everything else looked bigger and my legs looked like stumps. i now understand why it's on sale. you may like these pants if you are tall and thin legged. but otherwise skip them. plus the material seems like it would discolor or stain easily. i had a pair from retailer in the same material last year that developed an odd discoloration the first time i wore them.,2,0,1,General,Bottoms,Pants,True,False,42,sufficient,50-59,False,NEGATIVE
56,9845,944,40,Way to big and boxy,This sweater looks great in the picture but when it came in the mail turned out to be enormous. i tried it with a belt on like in the picture but that just made the whole sweater bunch up everywhere. the quality is nice. maybe sizing down would help. but the medium/large is going back. i am normally a medium.,2,0,0,General,Tops,Sweaters,True,False,16,thin,40-49,False,NEGATIVE
57,6465,907,46,Disappointment in the ivory version,"I ordered this in size xl in ivory. it was a drab, poorly-made, too-small sweater. the knit material wasn't good quality and the overall fit didn't work. i liked the light red color and maybe if that had been in stock, then i would have overlooked the problems. but, there are better ivory retailer cardigans available. this was returned.",2,0,0,General,Tops,Fine gauge,True,False,130,sufficient,40-49,False,NEGATIVE
58,4573,820,36,Shrunk,I absolutely loved this top. it fit great and was easy to dress up or down. i wore it once and washed it according to the tag. cold water and flat dry. it is now 4 sizes too small and unwearable. extremely disgusted.,1,0,0,General,Tops,Blouses,True,False,211,sufficient,30-39,False,NEGATIVE
59,17472,868,62,I really want to love this top...,"I want to love this shirt, i really do, but it's huge! the top is tent-like, which would be adorable with skinny jeans, however the length of the back dips so low, the top kind of reminds me of pajamas. the color is beautiful, more like a light grey heather, and the white piping is like a shimmery ribbon material. overall, the top is cute, but it dips too low in the back and the bow weighs down the back of the shirt, so it makes it hard to adjust it in the front. sadly, it's a return.",2,0,7,General,Tops,Knits,True,False,430,sufficient,60+,False,NEGATIVE
60,13561,1080,32,Dress in catalog is not the same,"I saw this dress in the catalog and immediately ran to the store to purchase. then i realized the dress in the catalog is slightly different, but the small differences is what makes the catalog dress so much more unique and worth the money! look at the top, the stripe colors are different. and the stripes flow different on the skirt part as well. and the dress was short on me and i'm two inches shorter than the model. bummer.",1,0,5,General,Dresses,Dresses,True,False,289,sufficient,30-39,False,NEGATIVE
61,2366,872,34,"Love the shirt, but arm holes are a bit big","I love the shirt and it runs true to size everywhere but the arm holes. i bought a size small and the length was great, the fit was great, but the arm holes were gappy and big. i had to return it and was bummed because i loved it otherwise.",2,1,8,General Petite,Tops,Knits,True,False,545,sufficient,30-39,True,CONFLICT
62,22395,877,59,Itchy gold metallic thread,I couldn't tell on line this top has gold metallic thread running throughout. i find metallic thread to be itchy. when i first put it on i thought it might be o.k. i can tolerate a fair amount of itch in fabric. after about 5 minutes i suddently couldn't wait to get it off. seemed like the longer it was next to my skin the more irritating it became. it is also a bit thinner fabric than i expected. i was hoping to use it as a layering piece. it would work well for layering if it was comfortable.,4,0,8,General Petite,Tops,Knits,True,False,154,sufficient,50-59,True,CONFLICT
63,20741,1078,72,Very roomy,For me this had too much material and was a little too tent like. a beautiful dress but not my style. i prefer more a line with not so much material.if you are looking for something roomy this is a good choice.,4,0,1,General Petite,Dresses,Dresses,True,False,1024,sufficient,60+,True,CONFLICT
64,20017,1180,54,I would keep it if it was not asymmetrical,"I wish there were be fewer asymmetrical tops in the store. i see many tops i like until i discover they have an asymmetrical hem and are longer in the back, which i do not prefer.",4,0,2,General,Tops,Blouses,True,False,2,thin,50-59,True,CONFLICT
65,19284,1092,27,Fits like a bag :(,"I was stoked to get this dress, and it is truly beautiful, but the fit is so awful. it was like being swallowed up by a bag. i ordered my usual size 6; i'm 5'7"" 140 lbs, and a bra size 34dd, but the dress just fell on me like a sack. i was so disappointed!! had to return.",4,0,0,General Petite,Dresses,Dresses,True,False,220,sufficient,18-29,True,CONFLICT
66,13040,1078,39,Does really run large,"I found this dress to run large (like the other reviewers have mentioned). the quality is really nice, and the sweater fabric is a nice touch. it hit me right above the knee, and i an 5'5"". it is a purplish pink (as pictured). if it fits you properly, you will be pleased with the quality, color and unique style.",4,0,0,General Petite,Dresses,Dresses,True,False,1024,sufficient,30-39,True,CONFLICT
67,10126,820,34,Could be cute on the right person,I wanted to love this shirt. it's not my usual style buy it looked so great online. unfortunately the actual shirt is much more brown in color and design than i thought looking online. i'm fair coloring & it just wasn't flattering. i'm thin but have a larger chest and this style just wasn't right for me. could definitely be cute on someone else but not a good match for me.,2,1,3,General Petite,Tops,Blouses,True,False,211,sufficient,30-39,True,CONFLICT
68,9674,865,33,Love it!,I didn't realize how much i would love this. wore it to work the other day and got more compliments than i have in a very long time on an outfit! it's comfortable and easy and flattering. bought this totally on a whim and so glad i did!,5,0,0,General,Tops,Knits,True,False,134,sufficient,30-39,True,CONFLICT
69,16987,984,57,,Love the jacket! so versatile! would probably order up a size if you like a loose fit.,1,1,2,General,Jackets,Jackets,True,False,175,sufficient,50-59,True,CONFLICT
70,18666,1104,55,,"This is a cute dress, but not for me. 1. i think it runs very small, 2. it is super textured so if you don't want to add bulk (aka pounds) to your frame, this probably isn't for you. it's too bad it's online only because i would have benefitted from trying this on first. i'm sure it's probably adorable on smaller, thinner people. unfortunately, mine is going back.",1,1,3,General,Dresses,Dresses,True,False,185,sufficient,50-59,True,CONFLICT
71,12334,823,52,Very see through,"I ordered this shirt online and didn't even try it on... it is super see through and i would need to wear a tank underneath and i don't want to have that extra layer in the summer.
it is cute though!",2,1,0,General Petite,Tops,Blouses,True,False,105,sufficient,50-59,True,CONFLICT
72,22976,1008,34,"Everyday skirt, but just okay","The reason for the title above is this skirt doesn't wow me. i felt like i could find this anywhere, and i don't go to retailer for such things. they have definitely mainstreamed more and more over the years....
__________
pros:
- tts. i tried on a large (and i'm normally either a 10 or 12) and it fit well and hung well on my hourglass and wider hips without billowing out.
- flows nicely! it does have a great movement to it.
- a good everyday skirt.
- not sheer at all. it is lined.
- when y",2,1,13,General Petite,Bottoms,Skirts,True,True,186,sufficient,30-39,True,CONFLICT
73,15755,865,36,Returned immediately,"First, the product arrived in a very small bag that made for many, many wrinkles - almost impossible to determine what it might look like. shame on retailer for sending their items in this manner. secondly, i don't know how individuals wear this with a bra. the back is cut so low that my bra back band partially showed - not my idea of a good look. third, the front necessitated a cami, and there is no way a cami can be worn due to how it is cut in the back. returning now, and i just received it.",4,0,10,General,Tops,Knits,True,False,134,sufficient,30-39,True,CONFLICT
74,11776,1052,33,,I was so excited to get these. i paid for two day shipping and ordered medium and large . sadly they did not fit. i usually wear medium but ordered both just in case. i'm very disappointed that they run so small and are not true to size. they are super cute from someone skinny.,2,1,8,General Petite,Bottoms,Pants,True,False,37,sufficient,30-39,True,CONFLICT
75,9624,872,51,Nippley,"Lovely cut, pretty creamy color, great top for strong shoulders, however. the upper section of this top is way more sheer than it appears in the photos. there is no bra that would really work with it--unless you want to embrace the undergarment visibility and go with one that has really pretty straps. just be sure the bra fits especially well, because any back fat will absolutely show. if you go without a bra, though: headlights. so there's that.",4,0,2,General,Tops,Knits,True,False,545,sufficient,50-59,True,CONFLICT
76,9441,898,46,Too small!,"Had to return this for a couple of reasons: 1) was too small! it's made like one of those tiny mittens that stretches to fit any size hand. i didn't bother to order a size up because i wasn't sure whether to go from a small to a medium or to a large. 2) the main color isn't grey, like the picture. it's a black and white checkered pattern. so, it doesn't look at all grey irl.

i'm still recommending because, if you get the right size, and like the colors, it will be a nice, light and comfy swea",2,1,1,General,Tops,Fine gauge,True,True,28,sufficient,40-49,True,CONFLICT
77,3499,872,52,Love this top!,This top is one of my retailer faves! it is so comfortable and love the quality and design. i receive many compliments on this top. i usually wear an xs or s in retailer tops and the xs was a little tight in the arms. the dressing room attendant suggested ordering a petite small so i wouldn't lose the shape. so glad i did. it fits perfect! i even ordered when it was on sale!! the gray color is perfect! its not too thick or thin.,5,0,2,General,Tops,Knits,True,False,545,sufficient,50-59,True,CONFLICT
78,22619,455,34,This is a zippered hoodie,Just wanted to review so people know this hoodie has a zipper. it's very soft and comfy but i was looking for a pullover hoodie and am disappointed that once again retailer's picture doesn't match the actual product. it does fit true to size however.,1,1,7,Initmates,Intimate,Lounge,True,False,5,thin,30-39,True,CONFLICT
79,21233,1126,27,No shoulder mobility,"1st, this jacket fits true to size. 2nd, the shoulders are too tight (design--not sizing), as other reviewers have noted. it's such a beautiful design and material, so it's unfortunate that the shoulders are so tight the jacket is a little impractical.

i purchased this jacket with 40% off sale price. i'm not sure it's worth it for such oversight on shoulder mobility.",4,0,0,General,Jackets,Outerwear,True,False,42,sufficient,18-29,True,CONFLICT
80,21950,1074,42,Beautiful fabric,"I ordered this in a 4 (34b, 140lbs., 5'8"") because it looked like it would run big, and it definitely does! the 4 fit comfortably but the cut of this dress made me look about 10 lbs. heavier than i am. i am pear-shaped and this dress made me look very bottom heavy, so i returned it. that said, the material is gorgeous!, as it is the perfect weight and the colors are much more striking and complementary in person. if i had a straight(er) silhouette and a larger bust, this dress would have been a",2,1,2,General,Dresses,Dresses,True,False,45,sufficient,40-49,True,CONFLICT
