Clothing ID,Department,Class,total_reviews,tier1_reviews,tier1_rate,undetermined,MATERIAL_QUALITY,MATERIAL_QUALITY_rate,FIT_CUT,FIT_CUT_rate,DESCRIPTION_MISMATCH,DESCRIPTION_MISMATCH_rate,SIZING_ACCURACY,SIZING_ACCURACY_rate,STYLE_EXPECTATION,STYLE_EXPECTATION_rate,PERSONAL_FIT,PERSONAL_FIT_rate,dominant_label,dominant_label_cnt,dominant_label_t1rate
965,Jackets,Jackets,43,6,0.14,2,3,0.07,0,0.0,0,0.0,0,0.0,1,0.023,0,0.0,MATERIAL_QUALITY,3,0.5
942,Tops,Sweaters,36,6,0.167,3,0,0.0,0,0.0,0,0.0,0,0.0,3,0.083,0,0.0,STYLE_EXPECTATION,3,0.5
899,Tops,Fine gauge,33,2,0.061,1,0,0.0,0,0.0,0,0.0,1,0.03,0,0.0,0,0.0,SIZING_ACCURACY,1,0.5
880,Tops,Knits,41,4,0.098,1,0,0.0,0,0.0,0,0.0,1,0.024,2,0.049,0,0.0,STYLE_EXPECTATION,2,0.5
1042,Bottoms,Pants,23,2,0.087,1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.043,0,0.0,STYLE_EXPECTATION,1,0.5
1103,Dresses,Dresses,36,2,0.056,1,0,0.0,0,0.0,0,0.0,0,0.0,1,0.028,0,0.0,STYLE_EXPECTATION,1,0.5
1076,Dresses,Dresses,46,13,0.283,5,6,0.13,0,0.0,1,0.022,0,0.0,1,0.022,0,0.0,MATERIAL_QUALITY,6,0.462
945,Tops,Sweaters,70,10,0.143,2,4,0.057,0,0.0,2,0.029,1,0.014,1,0.014,0,0.0,MATERIAL_QUALITY,4,0.4
1052,Bottoms,Pants,37,5,0.135,1,1,0.027,1,0.027,0,0.0,2,0.054,0,0.0,0,0.0,SIZING_ACCURACY,2,0.4
1047,Bottoms,Pants,77,5,0.065,3,2,0.026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,2,0.4
1074,Dresses,Dresses,45,5,0.111,2,0,0.0,0,0.0,0,0.0,1,0.022,2,0.044,0,0.0,STYLE_EXPECTATION,2,0.4
1126,Jackets,Outerwear,42,5,0.119,2,0,0.0,2,0.048,0,0.0,0,0.0,1,0.024,0,0.0,FIT_CUT,2,0.4
903,Tops,Fine gauge,91,10,0.11,5,1,0.011,0,0.0,0,0.0,0,0.0,4,0.044,0,0.0,STYLE_EXPECTATION,4,0.4
995,Bottoms,Skirts,36,5,0.139,2,0,0.0,0,0.0,1,0.028,0,0.0,2,0.056,0,0.0,STYLE_EXPECTATION,2,0.4
868,Tops,Knits,430,64,0.149,26,6,0.014,3,0.007,2,0.005,3,0.007,24,0.056,0,0.0,STYLE_EXPECTATION,24,0.375
941,Tops,Sweaters,83,16,0.193,7,6,0.072,0,0.0,1,0.012,1,0.012,1,0.012,0,0.0,MATERIAL_QUALITY,6,0.375
1016,Bottoms,Skirts,24,8,0.333,4,0,0.0,0,0.0,0,0.0,3,0.125,1,0.042,0,0.0,SIZING_ACCURACY,3,0.375
937,Tops,Sweaters,47,8,0.17,4,3,0.064,0,0.0,1,0.021,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,3,0.375
912,Tops,Fine gauge,40,8,0.2,3,0,0.0,1,0.025,0,0.0,1,0.025,3,0.075,0,0.0,STYLE_EXPECTATION,3,0.375
984,Jackets,Jackets,175,11,0.063,4,1,0.006,0,0.0,2,0.011,0,0.0,4,0.023,0,0.0,STYLE_EXPECTATION,4,0.364
823,Tops,Blouses,105,14,0.133,6,2,0.019,1,0.01,0,0.0,0,0.0,5,0.048,0,0.0,STYLE_EXPECTATION,5,0.357
831,Tops,Blouses,164,14,0.085,4,5,0.03,2,0.012,1,0.006,0,0.0,2,0.012,0,0.0,MATERIAL_QUALITY,5,0.357
830,Tops,Blouses,112,17,0.152,8,0,0.0,3,0.027,0,0.0,0,0.0,6,0.054,0,0.0,STYLE_EXPECTATION,6,0.353
1056,Bottoms,Pants,213,17,0.08,10,6,0.028,0,0.0,0,0.0,0,0.0,1,0.005,0,0.0,MATERIAL_QUALITY,6,0.353
822,Tops,Blouses,36,6,0.167,2,1,0.028,0,0.0,0,0.0,1,0.028,2,0.056,0,0.0,STYLE_EXPECTATION,2,0.333
169,Intimate,Legwear,36,3,0.083,2,1,0.028,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.333
1008,Bottoms,Skirts,186,9,0.048,6,0,0.0,0,0.0,0,0.0,0,0.0,3,0.016,0,0.0,STYLE_EXPECTATION,3,0.333
1054,Bottoms,Pants,33,3,0.091,2,0,0.0,1,0.03,0,0.0,0,0.0,0,0.0,0,0.0,FIT_CUT,1,0.333
1091,Dresses,Dresses,58,6,0.103,3,1,0.017,0,0.0,0,0.0,2,0.034,0,0.0,0,0.0,SIZING_ACCURACY,2,0.333
1116,Jackets,Outerwear,35,9,0.257,1,3,0.086,2,0.057,0,0.0,0,0.0,3,0.086,0,0.0,STYLE_EXPECTATION,3,0.333
1085,Dresses,Dresses,28,3,0.107,2,0,0.0,1,0.036,0,0.0,0,0.0,0,0.0,0,0.0,FIT_CUT,1,0.333
949,Tops,Sweaters,79,6,0.076,3,2,0.025,0,0.0,0,0.0,1,0.013,0,0.0,0,0.0,MATERIAL_QUALITY,2,0.333
1001,Bottoms,Skirts,43,3,0.07,2,0,0.0,0,0.0,1,0.023,0,0.0,0,0.0,0,0.0,DESCRIPTION_MISMATCH,1,0.333
992,Bottoms,Skirts,21,3,0.143,2,0,0.0,0,0.0,0,0.0,1,0.048,0,0.0,0,0.0,SIZING_ACCURACY,1,0.333
921,Tops,Sweaters,31,6,0.194,3,1,0.032,0,0.0,0,0.0,0,0.0,2,0.065,0,0.0,STYLE_EXPECTATION,2,0.333
876,Tops,Knits,88,12,0.136,4,2,0.023,1,0.011,0,0.0,1,0.011,4,0.045,0,0.0,STYLE_EXPECTATION,4,0.333
999,Bottoms,Skirts,37,3,0.081,1,0,0.0,0,0.0,0,0.0,1,0.027,1,0.027,0,0.0,SIZING_ACCURACY,1,0.333
974,Jackets,Jackets,50,6,0.12,3,1,0.02,0,0.0,0,0.0,0,0.0,2,0.04,0,0.0,STYLE_EXPECTATION,2,0.333
815,Tops,Blouses,53,3,0.057,2,1,0.019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.333
832,Tops,Blouses,20,3,0.15,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.05,0,0.0,STYLE_EXPECTATION,1,0.333
835,Tops,Blouses,141,13,0.092,5,2,0.014,2,0.014,0,0.0,0,0.0,4,0.028,0,0.0,STYLE_EXPECTATION,4,0.308
1079,Dresses,Dresses,63,13,0.206,5,4,0.063,0,0.0,0,0.0,1,0.016,3,0.048,0,0.0,MATERIAL_QUALITY,4,0.308
857,Tops,Knits,71,10,0.141,5,3,0.042,0,0.0,1,0.014,0,0.0,1,0.014,0,0.0,MATERIAL_QUALITY,3,0.3
860,Tops,Knits,288,30,0.104,15,1,0.003,3,0.01,0,0.0,2,0.007,9,0.031,0,0.0,STYLE_EXPECTATION,9,0.3
834,Tops,Blouses,150,7,0.047,3,2,0.013,1,0.007,0,0.0,0,0.0,1,0.007,0,0.0,MATERIAL_QUALITY,2,0.286
854,Tops,Knits,152,14,0.092,5,4,0.026,0,0.0,1,0.007,1,0.007,3,0.02,0,0.0,MATERIAL_QUALITY,4,0.286
886,Tops,Knits,106,7,0.066,3,2,0.019,0,0.0,0,0.0,0,0.0,2,0.019,0,0.0,MATERIAL_QUALITY,2,0.286
1099,Dresses,Dresses,136,14,0.103,5,4,0.029,1,0.007,0,0.0,1,0.007,3,0.022,0,0.0,MATERIAL_QUALITY,4,0.286
1098,Dresses,Dresses,86,14,0.163,5,2,0.023,1,0.012,0,0.0,2,0.023,4,0.047,0,0.0,STYLE_EXPECTATION,4,0.286
1066,Bottoms,Pants,89,7,0.079,4,2,0.022,0,0.0,1,0.011,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,2,0.286
1077,Dresses,Dresses,297,39,0.131,23,0,0.0,2,0.007,1,0.003,2,0.007,11,0.037,0,0.0,STYLE_EXPECTATION,11,0.282
867,Tops,Knits,351,50,0.142,24,5,0.014,3,0.009,3,0.009,1,0.003,14,0.04,0,0.0,STYLE_EXPECTATION,14,0.28
861,Tops,Knits,244,25,0.102,13,7,0.029,0,0.0,1,0.004,0,0.0,4,0.016,0,0.0,MATERIAL_QUALITY,7,0.28
863,Tops,Knits,306,25,0.082,13,4,0.013,0,0.0,0,0.0,1,0.003,7,0.023,0,0.0,STYLE_EXPECTATION,7,0.28
1087,Dresses,Dresses,129,29,0.225,18,2,0.016,0,0.0,1,0.008,0,0.0,8,0.062,0,0.0,STYLE_EXPECTATION,8,0.276
844,Tops,Blouses,50,11,0.22,7,0,0.0,0,0.0,0,0.0,0,0.0,3,0.06,1,0.02,STYLE_EXPECTATION,3,0.273
875,Tops,Knits,115,11,0.096,3,2,0.017,1,0.009,2,0.017,0,0.0,3,0.026,0,0.0,STYLE_EXPECTATION,3,0.273
865,Tops,Knits,134,22,0.164,11,2,0.015,1,0.007,1,0.007,1,0.007,6,0.045,0,0.0,STYLE_EXPECTATION,6,0.273
833,Tops,Blouses,157,15,0.096,4,3,0.019,1,0.006,2,0.013,1,0.006,4,0.025,0,0.0,STYLE_EXPECTATION,4,0.267
1035,Bottoms,Jeans,135,15,0.111,7,4,0.03,1,0.007,0,0.0,1,0.007,2,0.015,0,0.0,MATERIAL_QUALITY,4,0.267
1104,Dresses,Dresses,185,19,0.103,9,5,0.027,0,0.0,1,0.005,2,0.011,2,0.011,0,0.0,MATERIAL_QUALITY,5,0.263
1078,Dresses,Dresses,1024,104,0.102,46,9,0.009,7,0.007,8,0.008,7,0.007,27,0.026,0,0.0,STYLE_EXPECTATION,27,0.26
1080,Dresses,Dresses,289,27,0.093,12,2,0.007,1,0.003,3,0.01,2,0.007,7,0.024,0,0.0,STYLE_EXPECTATION,7,0.259
1092,Dresses,Dresses,220,27,0.123,12,2,0.009,3,0.014,2,0.009,1,0.005,7,0.032,0,0.0,STYLE_EXPECTATION,7,0.259
850,Tops,Blouses,338,35,0.104,17,3,0.009,2,0.006,1,0.003,3,0.009,9,0.027,0,0.0,STYLE_EXPECTATION,9,0.257
1121,Jackets,Outerwear,48,8,0.167,4,1,0.021,2,0.042,0,0.0,0,0.0,1,0.021,0,0.0,FIT_CUT,2,0.25
879,Tops,Knits,54,4,0.074,2,1,0.019,0,0.0,0,0.0,0,0.0,1,0.019,0,0.0,STYLE_EXPECTATION,1,0.25
975,Jackets,Jackets,116,16,0.138,6,4,0.034,2,0.017,0,0.0,3,0.026,1,0.009,0,0.0,MATERIAL_QUALITY,4,0.25
1111,Dresses,Dresses,58,8,0.138,4,2,0.034,0,0.0,0,0.0,0,0.0,2,0.034,0,0.0,STYLE_EXPECTATION,2,0.25
1053,Bottoms,Pants,41,4,0.098,2,1,0.024,1,0.024,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.25
1084,Dresses,Dresses,72,20,0.278,7,5,0.069,2,0.028,1,0.014,2,0.028,3,0.042,0,0.0,MATERIAL_QUALITY,5,0.25
1117,Jackets,Outerwear,25,4,0.16,3,0,0.0,0,0.0,1,0.04,0,0.0,0,0.0,0,0.0,DESCRIPTION_MISMATCH,1,0.25
866,Tops,Knits,121,20,0.165,7,1,0.008,3,0.025,4,0.033,0,0.0,5,0.041,0,0.0,STYLE_EXPECTATION,5,0.25
841,Tops,Blouses,25,8,0.32,5,1,0.04,0,0.0,0,0.0,0,0.0,2,0.08,0,0.0,STYLE_EXPECTATION,2,0.25
836,Tops,Blouses,205,28,0.137,16,0,0.0,4,0.02,1,0.005,0,0.0,7,0.034,0,0.0,STYLE_EXPECTATION,7,0.25
1107,Dresses,Dresses,27,4,0.148,3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.037,0,0.0,STYLE_EXPECTATION,1,0.25
878,Tops,Knits,47,8,0.17,5,1,0.021,0,0.0,0,0.0,0,0.0,2,0.043,0,0.0,STYLE_EXPECTATION,2,0.25
898,Tops,Fine gauge,28,4,0.143,2,1,0.036,0,0.0,1,0.036,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.25
862,Tops,Knits,806,86,0.107,43,21,0.026,2,0.002,3,0.004,3,0.004,14,0.017,0,0.0,MATERIAL_QUALITY,21,0.244
864,Tops,Knits,145,17,0.117,11,1,0.007,0,0.0,0,0.0,1,0.007,4,0.028,0,0.0,STYLE_EXPECTATION,4,0.235
909,Tops,Fine gauge,122,17,0.139,8,4,0.033,1,0.008,1,0.008,1,0.008,2,0.016,0,0.0,MATERIAL_QUALITY,4,0.235
870,Tops,Knits,53,13,0.245,7,0,0.0,1,0.019,1,0.019,1,0.019,3,0.057,0,0.0,STYLE_EXPECTATION,3,0.231
840,Tops,Blouses,59,13,0.22,2,3,0.051,1,0.017,1,0.017,3,0.051,3,0.051,0,0.0,MATERIAL_QUALITY,3,0.231
1082,Dresses,Dresses,147,31,0.211,19,2,0.014,1,0.007,1,0.007,1,0.007,7,0.048,0,0.0,STYLE_EXPECTATION,7,0.226
1055,Bottoms,Pants,25,9,0.36,4,2,0.08,1,0.04,0,0.0,2,0.08,0,0.0,0,0.0,SIZING_ACCURACY,2,0.222
1110,Dresses,Dresses,480,46,0.096,25,4,0.008,3,0.006,2,0.004,2,0.004,10,0.021,0,0.0,STYLE_EXPECTATION,10,0.217
818,Tops,Blouses,53,14,0.264,5,3,0.057,0,0.0,1,0.019,3,0.057,2,0.038,0,0.0,SIZING_ACCURACY,3,0.214
877,Tops,Knits,154,14,0.091,7,3,0.019,1,0.006,0,0.0,1,0.006,2,0.013,0,0.0,MATERIAL_QUALITY,3,0.214
819,Tops,Blouses,61,10,0.164,5,2,0.033,0,0.0,1,0.016,0,0.0,2,0.033,0,0.0,STYLE_EXPECTATION,2,0.2
820,Tops,Blouses,211,25,0.118,12,3,0.014,5,0.024,4,0.019,0,0.0,1,0.005,0,0.0,FIT_CUT,5,0.2
939,Tops,Sweaters,83,5,0.06,2,1,0.012,0,0.0,1,0.012,1,0.012,0,0.0,0,0.0,SIZING_ACCURACY,1,0.2
993,Bottoms,Skirts,58,5,0.086,3,1,0.017,0,0.0,0,0.0,0,0.0,1,0.017,0,0.0,MATERIAL_QUALITY,1,0.2
936,Tops,Sweaters,358,25,0.07,14,5,0.014,2,0.006,2,0.006,0,0.0,2,0.006,0,0.0,MATERIAL_QUALITY,5,0.2
1072,Dresses,Dresses,197,35,0.178,18,3,0.015,2,0.01,3,0.015,2,0.01,7,0.036,0,0.0,STYLE_EXPECTATION,7,0.2
1059,Bottoms,Pants,294,35,0.119,19,7,0.024,4,0.014,0,0.0,4,0.014,1,0.003,0,0.0,MATERIAL_QUALITY,7,0.2
1100,Dresses,Dresses,56,5,0.089,4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.018,0,0.0,STYLE_EXPECTATION,1,0.2
1030,Bottoms,Jeans,72,10,0.139,5,1,0.014,1,0.014,1,0.014,2,0.028,0,0.0,0,0.0,SIZING_ACCURACY,2,0.2
828,Tops,Blouses,225,20,0.089,14,2,0.009,0,0.0,0,0.0,0,0.0,4,0.018,0,0.0,STYLE_EXPECTATION,4,0.2
1060,Bottoms,Pants,103,5,0.049,4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.01,0,0.0,STYLE_EXPECTATION,1,0.2
1044,Bottoms,Pants,42,5,0.119,2,1,0.024,1,0.024,0,0.0,0,0.0,1,0.024,0,0.0,MATERIAL_QUALITY,1,0.2
1070,Bottoms,Pants,46,5,0.109,4,1,0.022,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.2
1038,Bottoms,Jeans,69,5,0.072,1,1,0.014,1,0.014,0,0.0,1,0.014,1,0.014,0,0.0,SIZING_ACCURACY,1,0.2
1028,Bottoms,Jeans,83,5,0.06,3,1,0.012,0,0.0,0,0.0,0,0.0,1,0.012,0,0.0,STYLE_EXPECTATION,1,0.2
1046,Bottoms,Pants,24,5,0.208,2,0,0.0,0,0.0,1,0.042,1,0.042,1,0.042,0,0.0,DESCRIPTION_MISMATCH,1,0.2
872,Tops,Knits,545,36,0.066,17,2,0.004,5,0.009,4,0.007,1,0.002,7,0.013,0,0.0,STYLE_EXPECTATION,7,0.194
895,Tops,Fine gauge,404,37,0.092,21,6,0.015,1,0.002,1,0.002,1,0.002,7,0.017,0,0.0,STYLE_EXPECTATION,7,0.189
873,Tops,Knits,238,16,0.067,5,3,0.013,3,0.013,2,0.008,0,0.0,3,0.013,0,0.0,STYLE_EXPECTATION,3,0.188
829,Tops,Blouses,527,54,0.102,25,10,0.019,3,0.006,4,0.008,3,0.006,9,0.017,0,0.0,MATERIAL_QUALITY,10,0.185
881,Tops,Knits,68,11,0.162,7,1,0.015,0,0.0,0,0.0,1,0.015,2,0.029,0,0.0,STYLE_EXPECTATION,2,0.182
986,Jackets,Jackets,32,11,0.344,9,2,0.062,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,2,0.182
907,Tops,Fine gauge,130,11,0.085,6,2,0.015,0,0.0,1,0.008,0,0.0,2,0.015,0,0.0,MATERIAL_QUALITY,2,0.182
838,Tops,Blouses,37,11,0.297,6,1,0.027,0,0.0,2,0.054,0,0.0,2,0.054,0,0.0,STYLE_EXPECTATION,2,0.182
1086,Dresses,Dresses,291,34,0.117,16,6,0.021,5,0.017,0,0.0,1,0.003,6,0.021,0,0.0,STYLE_EXPECTATION,6,0.176
855,Tops,Knits,26,6,0.231,5,1,0.038,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.167
1068,Bottoms,Pants,114,12,0.105,6,2,0.018,2,0.018,0,0.0,1,0.009,1,0.009,0,0.0,MATERIAL_QUALITY,2,0.167
927,Tops,Sweaters,214,24,0.112,14,4,0.019,0,0.0,1,0.005,2,0.009,3,0.014,0,0.0,MATERIAL_QUALITY,4,0.167
1037,Bottoms,Jeans,106,13,0.123,8,1,0.009,1,0.009,2,0.019,0,0.0,1,0.009,0,0.0,DESCRIPTION_MISMATCH,2,0.154
825,Tops,Blouses,93,13,0.14,9,2,0.022,0,0.0,0,0.0,0,0.0,2,0.022,0,0.0,STYLE_EXPECTATION,2,0.154
1095,Dresses,Dresses,327,48,0.147,19,6,0.018,6,0.018,4,0.012,6,0.018,7,0.021,0,0.0,STYLE_EXPECTATION,7,0.146
1094,Dresses,Dresses,756,76,0.101,50,7,0.009,4,0.005,0,0.0,4,0.005,11,0.015,0,0.0,STYLE_EXPECTATION,11,0.145
1089,Dresses,Dresses,92,14,0.152,9,2,0.022,1,0.011,0,0.0,0,0.0,2,0.022,0,0.0,MATERIAL_QUALITY,2,0.143
929,Tops,Sweaters,20,7,0.35,6,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,MATERIAL_QUALITY,1,0.143
1075,Dresses,Dresses,69,14,0.203,10,1,0.014,0,0.0,0,0.0,1,0.014,2,0.029,0,0.0,STYLE_EXPECTATION,2,0.143
1009,Bottoms,Skirts,89,7,0.079,4,1,0.011,0,0.0,0,0.0,1,0.011,1,0.011,0,0.0,STYLE_EXPECTATION,1,0.143
1020,Bottoms,Skirts,158,14,0.089,9,0,0.0,1,0.006,2,0.013,1,0.006,1,0.006,0,0.0,DESCRIPTION_MISMATCH,2,0.143
1083,Dresses,Dresses,249,21,0.084,13,3,0.012,1,0.004,0,0.0,1,0.004,3,0.012,0,0.0,MATERIAL_QUALITY,3,0.143
996,Bottoms,Skirts,88,8,0.091,5,1,0.011,0,0.0,0,0.0,1,0.011,1,0.011,0,0.0,MATERIAL_QUALITY,1,0.125
1096,Dresses,Dresses,78,8,0.103,5,0,0.0,0,0.0,1,0.013,1,0.013,0,0.0,1,0.013,PERSONAL_FIT,1,0.125
1081,Dresses,Dresses,581,51,0.088,31,4,0.007,3,0.005,4,0.007,3,0.005,6,0.01,0,0.0,STYLE_EXPECTATION,6,0.118
940,Tops,Sweaters,130,9,0.069,6,1,0.008,1,0.008,0,0.0,0,0.0,1,0.008,0,0.0,MATERIAL_QUALITY,1,0.111
1033,Bottoms,Jeans,220,9,0.041,7,1,0.005,1,0.005,0,0.0,0,0.0,0,0.0,0,0.0,FIT_CUT,1,0.111
883,Tops,Knits,70,9,0.129,6,0,0.0,1,0.014,0,0.0,1,0.014,1,0.014,0,0.0,SIZING_ACCURACY,1,0.111
1022,Bottoms,Jeans,204,16,0.078,12,1,0.005,1,0.005,0,0.0,1,0.005,1,0.005,0,0.0,SIZING_ACCURACY,1,0.062
520,Intimate,Layering,30,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
858,Tops,Knits,21,1,0.048,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
282,Bottoms,Shorts,35,3,0.086,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
906,Tops,Fine gauge,37,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
916,Tops,Fine gauge,29,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1024,Bottoms,Jeans,35,1,0.029,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1011,Bottoms,Skirts,20,3,0.15,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1004,Bottoms,Skirts,25,2,0.08,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1003,Bottoms,Skirts,22,1,0.045,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
967,Jackets,Jackets,23,1,0.043,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
966,Jackets,Jackets,23,1,0.043,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
933,Tops,Sweaters,63,5,0.079,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
938,Tops,Sweaters,22,1,0.045,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1026,Bottoms,Jeans,21,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1025,Bottoms,Jeans,125,6,0.048,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1049,Bottoms,Pants,32,2,0.062,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1027,Bottoms,Jeans,20,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1051,Bottoms,Pants,37,2,0.054,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1093,Dresses,Dresses,30,1,0.033,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1115,Jackets,Outerwear,23,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
1123,Jackets,Outerwear,30,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,NONE,0,0.0
